customer_id,order_id,order_date,delivery_date,country,customer_age,gender,product_category,order_value,support_channel,support_response_time_hrs,issue_resolved,satisfaction_score_text,nps_score,customer_comments,repeat_customer
CUST-100002,1000002,8/24/2023,8/27/2023,France,,Male,Home,1301.06,In-App,45.8,Y,Completely satisfied,,,No
CUST-100004,1000004,7/10/2023,10/20/2023,United States,34,Female,Fashion,1123.05,In-App,28.8,No,super satisfied,,,Yes
CUST-100005,1000005,10/11/2022,11/24/2022,Germany,,,Fashion,1456.91,Email,8.3,Y,Very satisfied,,Great service,Yes
CUST-100008,1000008,12/5/2022,12/25/2022,DE,66,M,electronics,1492.77,PHONE,64.8,N,Very unsatisfied,-70,,Yes
CUST-100012,1000012,4/12/2024,4/25/2024,United States,42,F,Fashion,1390.51,In-App,50.2,N,super satisfied,-61,Fast delivery,No
CUST-100013,1000013,5/5/2022,5/24/2022,USA,79,Female,Electronics,896.6,PHONE,29.1,No,super satisfied,48,Great service,
CUST-100014,1000014,3/23/2022,4/11/2022,United States,,Female,Fashion,691.26,Email,,Yes,Completely satisfied,-82,Loved the experience,
CUST-100015,1000015,3/13/2023,3/25/2023,United States,,,Electronics,1005.12,email,47.8,No,Satisfied,-33,Fast delivery,Yes
CUST-100018,1000018,9/24/2023,9/26/2023,United States,73,Female,electronics,46.93,PHONE,56.4,N,neutral,71,Okay experience,No
CUST-100019,1000019,11/12/2023,11/20/2023,FR,,M,Fashion,1232.6,Phone,47.6,N,100% satisfied,,Great service,Yes
CUST-100020,1000020,3/27/2024,3/30/2024,USA,,Female,Fashion,67,email,52.5,Y,Satisfied,11,Excellent support,No
CUST-100021,1000021,10/5/2023,10/22/2023,FR,52,M,electronics,114.26,PHONE,44.9,Yes,super satisfied,,Excellent support,
CUST-100022,1000022,10/5/2023,10/15/2023,Germany,,Female,Fashion,615.05,Email,15.2,Y,Satisfied,,Loved the experience,No
CUST-100023,1000023,11/8/2023,8/30/2023,USA,70,M,Home,1211.78,Phone,,No,super satisfied,21,,No
CUST-100025,1000025,8/7/2022,8/24/2022,FR,,Female,electronics,680.6,Phone,20,N,Very unsatisfied,60,,No
CUST-100026,1000026,2/7/2024,7/18/2024,United States,27,F,Home,1062.56,Email,23.9,N,Very unsatisfied,6,Late delivery,Yes
CUST-100027,1000027,5/11/2022,10/11/2022,FR,,,Home,737.46,Chat,2.2,Y,Not satisfied,,Unhelpful support,
CUST-100029,1000029,2/25/2022,3/2/2022,DE,,Female,Electronics,1174.04,PHONE,,Yes,Not satisfied,-37,Slow response,Yes
CUST-100031,1000031,6/9/2023,6/29/2023,FR,80,M,electronics,995.67,Email,24.6,N,super satisfied,25,Great service,No
CUST-100032,1000032,9/10/2023,9/29/2023,DE,,F,electronics,1240.34,email,61.3,Yes,neutral,,,Yes
CUST-100035,1000035,5/10/2023,5/18/2023,France,,Male,Home,295.4,PHONE,52.2,Y,neutral,-75,Average service,No
CUST-100036,1000036,7/18/2024,7/26/2024,DE,,Male,Electronics,834.5,PHONE,46,N,super satisfied,-74,Excellent support,
CUST-100038,1000038,9/7/2024,9/9/2024,Germany,,M,Electronics,918.35,PHONE,,No,super satisfied,60,Great service,No
CUST-100039,1000039,2/5/2024,5/15/2024,Germany,,M,Electronics,354.9,PHONE,61.9,Yes,Completely satisfied,75,Fast delivery,No
CUST-100040,1000040,7/5/2023,5/13/2023,USA,21,M,Fashion,664.34,In-App,50.4,Y,super satisfied,,Loved the experience,No
CUST-100042,1000042,3/23/2022,4/12/2022,FR,,F,electronics,439.44,In-App,39.7,N,Very unsatisfied,,Late delivery,No
CUST-100043,1000043,6/11/2024,6/27/2024,USA,,,electronics,941.86,Email,39.6,Y,neutral,,Okay experience,Yes
CUST-100044,1000044,6/1/2023,6/14/2023,USA,32,F,Electronics,975.09,Phone,51.6,Y,Very satisfied,,,No
CUST-100045,1000045,9/26/2022,10/12/2022,FR,,F,Fashion,1402.03,email,0.3,Y,super satisfied,,Loved the experience,Yes
CUST-100046,1000046,8/21/2023,9/6/2023,US,73,Female,electronics,358.01,In-App,,N,Very unsatisfied,,,No
CUST-100047,1000047,8/3/2023,8/22/2023,FR,,Male,electronics,32.87,Phone,47.2,No,100% satisfied,,Loved the experience,No
CUST-100048,1000048,4/21/2024,5/7/2024,US,,,Electronics,930.01,Phone,66.3,No,neutral,91,,No
CUST-100049,1000049,11/13/2022,11/22/2022,US,68,M,Fashion,568.51,Phone,29.7,No,Completely satisfied,-57,Great service,Yes
CUST-100050,1000050,12/8/2023,8/26/2023,Germany,,F,Fashion,1003.59,In-App,48.8,No,Not satisfied,,,No
CUST-100054,1000054,1/25/2023,1/30/2023,FR,,,Fashion,144.55,In-App,,Yes,Satisfied,,Excellent support,
CUST-100055,1000055,1/20/2024,1/29/2024,USA,,,Home,975,PHONE,65.5,Y,Satisfied,,,Yes
CUST-100056,1000056,6/26/2023,7/5/2023,United States,74,F,electronics,562.81,PHONE,38.9,No,100% satisfied,6,Great service,No
CUST-100057,1000057,4/16/2024,4/18/2024,FR,41,M,Fashion,100.22,Chat,8.9,N,Not satisfied,-77,Slow response,
CUST-100059,1000059,7/20/2024,8/10/2024,DE,38,Female,Fashion,88.07,PHONE,8.3,Yes,Satisfied,,Fast delivery,No
CUST-100060,1000060,1/6/2022,11/1/2022,Germany,59,Male,electronics,1272.47,In-App,35.4,N,Completely satisfied,-82,Loved the experience,No
CUST-100061,1000061,5/12/2024,5/28/2024,DE,,F,electronics,157.78,PHONE,47.2,No,100% satisfied,,Great service,Yes
CUST-100062,1000062,5/23/2024,6/7/2024,Germany,,M,Home,1033.36,In-App,,Yes,Not satisfied,,Slow response,Yes
CUST-100066,1000066,9/25/2023,1/10/2023,Germany,35,,Electronics,524.31,Email,48.9,N,Very satisfied,,Great service,Yes
CUST-100067,1000067,1/28/2024,2/16/2024,FR,,M,Electronics,21.52,PHONE,9.4,No,super satisfied,,Loved the experience,Yes
CUST-100068,1000068,5/30/2024,6/18/2024,DE,,F,Fashion,181.61,Email,12.5,N,Not satisfied,,Late delivery,Yes
CUST-100070,1000070,2/8/2022,2/19/2022,United States,56,Male,Home,1427.43,PHONE,54.3,N,neutral,,,
CUST-100071,1000071,5/14/2023,5/31/2023,DE,,,Electronics,472.51,In-App,,Y,neutral,-27,Okay experience,
CUST-100073,1000073,6/19/2024,7/10/2024,US,,F,electronics,1163.95,PHONE,56.8,Y,100% satisfied,,Great service,Yes
CUST-100074,1000074,11/4/2024,11/22/2024,US,,Female,Electronics,471.28,In-App,23.7,No,Not satisfied,71,Slow response,
CUST-100075,1000075,5/23/2023,9/6/2023,US,,Female,Home,1499.97,Phone,,Yes,Not satisfied,29,,
CUST-100078,1000078,9/26/2022,2/10/2022,FR,45,Female,electronics,1328.1,Email,28.6,Y,Completely satisfied,,Excellent support,Yes
CUST-100079,1000079,1/24/2024,2/3/2024,United States,,F,Home,1140.67,In-App,0.5,Yes,neutral,,Okay experience,Yes
CUST-100081,1000081,2/27/2022,3/20/2022,US,,Female,Electronics,789.99,Chat,,Yes,super satisfied,,Fast delivery,Yes
CUST-100083,1000083,11/5/2023,5/12/2023,US,30,Female,Electronics,480.24,Chat,71.2,N,Very unsatisfied,-36,Bad packaging,
CUST-100084,1000084,6/4/2023,6/7/2023,USA,,F,electronics,1117.53,In-App,13.5,N,super satisfied,,Excellent support,Yes
CUST-100085,1000085,10/4/2022,10/19/2022,USA,,M,electronics,907.91,In-App,32,N,Not satisfied,,Late delivery,
CUST-100086,1000086,1/2/2024,1/13/2024,DE,69,Male,Home,1274.52,PHONE,2.6,Yes,Not satisfied,,Slow response,No
CUST-100088,1000088,4/28/2022,5/11/2022,DE,,Female,Electronics,212.24,Email,64.7,N,Not satisfied,,,
CUST-100089,1000089,8/3/2022,3/20/2022,FR,41,Male,Home,1190.18,Phone,2,Y,neutral,19,,
CUST-100092,1000092,9/26/2023,10/12/2023,FR,73,Male,Electronics,1423.33,email,15.3,N,Completely satisfied,58,,No
CUST-100093,1000093,4/24/2022,4/5/2022,Germany,22,Female,electronics,629.28,In-App,43.7,Y,Satisfied,,Excellent support,
